OrderItemID,OrderID,ProductID,Quantity,UnitPrice,Discount
1,100001,4,5,873,5
2,100002,18,2,1368,0
3,100002,95,10,6,15
4,100003,4,2,873,5
5,100004,65,1,652,5
6,100004,78,9,1118,15
7,100005,58,5,247,0
8,100005,76,3,140,15
9,100006,36,6,220,0
10,100006,20,2,101,15
11,100006,28,2,1171,10
12,100007,78,8,1118,0
13,100007,34,7,88,0
14,100007,6,9,631,10
15,100008,47,1,71,5
16,100008,74,5,9,0
17,100008,25,4,43,0
18,100008,91,7,3,10
19,100008,9,8,202,10
20,100009,48,4,421,10
21,100009,46,2,1077,5
22,100010,94,5,88,5
23,100010,32,6,89,0
24,100010,21,4,232,0
25,100010,60,6,247,15
26,100010,49,5,61,0
27,100011,73,6,1063,5
28,100011,92,8,476,15
29,100012,19,9,1427,10
30,100012,34,10,88,15
31,100012,18,10,1368,15
32,100012,32,6,89,5
33,100013,66,2,266,0
34,100013,64,2,182,5
35,100014,88,10,444,0
36,100014,55,7,1324,15
37,100015,60,2,247,10
38,100015,68,6,953,0
39,100015,33,5,147,15
40,100015,71,3,7,15
41,100015,2,1,792,10
42,100016,98,5,3,5
43,100016,23,3,1060,10
44,100016,65,3,652,0
45,100016,14,10,155,10
46,100016,81,8,93,0
47,100017,47,5,71,5
48,100018,31,10,84,0
49,100019,94,8,88,0
50,100020,99,3,1332,10
51,100020,17,9,513,15
52,100020,85,4,455,5
53,100020,61,5,1213,15
54,100020,71,6,7,15
55,100021,58,6,247,0
56,100021,16,10,14,5
57,100021,32,10,89,5
58,100021,29,1,206,0
59,100021,9,1,202,5
60,100022,5,6,1329,0
61,100023,31,9,84,5
62,100023,36,10,220,15
63,100023,86,4,25,15
64,100023,63,7,7,5
65,100023,28,2,1171,0
66,100024,46,1,1077,0
67,100024,55,1,1324,15
68,100024,53,6,445,0
69,100024,60,4,247,5
70,100025,69,3,712,15
71,100025,58,3,247,10
72,100026,32,2,89,0
73,100026,10,9,1002,0
74,100026,57,2,712,5
75,100026,71,3,7,15
76,100027,62,3,371,15
77,100027,28,1,1171,15
78,100027,52,5,229,15
79,100027,8,5,199,15
80,100028,85,5,455,5
81,100028,92,1,476,0
82,100028,63,6,7,0
83,100028,20,1,101,15
84,100028,25,9,43,5
85,100029,66,2,266,5
86,100030,77,2,894,5
87,100031,16,10,14,0
88,100031,73,10,1063,0
89,100031,32,7,89,10
90,100031,75,5,1079,5
91,100032,31,3,84,10
92,100032,34,8,88,10
93,100032,51,2,722,0
94,100033,80,9,78,5
95,100033,73,9,1063,10
96,100033,13,3,21,10
97,100033,10,2,1002,5
98,100034,37,9,493,10
99,100034,21,10,232,0
100,100034,57,9,712,10
101,100035,18,5,1368,0
102,100036,96,9,20,5
103,100037,37,6,493,5
104,100037,78,5,1118,15
105,100037,27,5,209,0
106,100038,82,7,9,10
107,100039,1,6,231,5
108,100040,21,9,232,15
109,100040,95,9,6,0
110,100040,57,2,712,0
111,100041,70,6,1248,5
112,100041,5,7,1329,5
113,100042,40,6,242,0
114,100043,27,2,209,10
115,100043,88,9,444,15
116,100043,32,10,89,5
117,100044,21,7,232,0
118,100044,23,3,1060,10
119,100045,86,3,25,0
120,100045,95,7,6,0
121,100045,32,8,89,5
122,100045,35,4,406,15
123,100046,40,1,242,5
124,100046,30,7,1260,10
125,100046,29,5,206,0
126,100047,45,7,139,10
127,100047,83,1,1206,0
128,100047,66,5,266,5
129,100048,34,6,88,10
130,100048,5,7,1329,0
131,100048,14,7,155,5
132,100048,77,5,894,0
133,100048,56,7,89,0
134,100049,69,4,712,10
135,100049,88,7,444,0
136,100049,93,6,1214,10
137,100049,95,2,6,10
138,100049,86,9,25,10
139,100050,42,9,216,5
140,100050,52,4,229,15
141,100050,90,7,4,5
142,100050,38,10,1193,10
143,100051,71,4,7,15
144,100051,1,10,231,10
145,100051,39,8,1180,15
146,100051,37,8,493,5
147,100052,61,5,1213,10
148,100052,95,2,6,5
149,100052,22,5,3,5
150,100052,85,4,455,5
151,100052,11,1,573,0
152,100053,61,2,1213,15
153,100053,79,7,154,5
154,100054,64,1,182,0
155,100054,52,7,229,5
156,100054,32,3,89,15
157,100054,19,1,1427,5
158,100055,59,3,95,15
159,100056,72,10,107,15
160,100056,77,9,894,15
161,100056,41,3,4,15
162,100056,97,8,35,10
163,100056,57,4,712,10
164,100057,63,2,7,10
165,100057,81,4,93,10
166,100057,31,6,84,10
167,100057,36,9,220,0
168,100057,57,3,712,5
169,100058,50,3,648,5
170,100058,89,2,124,15
171,100059,43,1,1212,5
172,100059,70,7,1248,15
173,100059,60,10,247,0
174,100059,54,10,613,15
175,100060,1,7,231,15
176,100060,46,9,1077,5
177,100060,39,8,1180,5
178,100060,97,5,35,15
179,100061,4,7,873,5
180,100061,50,8,648,5
181,100061,44,10,168,0
182,100061,86,7,25,0
183,100062,83,7,1206,5
